variable,min,max,mean,median,std
total_cap,298.2142857142857,298.2142857142857,298.2142857142857,298.2142857142857,0.0
market_cost,9414.571428571428,9414.571428571428,9414.571428571428,9414.571428571428,0.0
lambda_e_avg,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667,0.0
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,119.07505549568796,123.74999999999989,121.41252774784391,121.41252774784392,2.560572560096448
rd_cost,259.85941239665885,260.7297827156185,260.2945975561387,260.2945975561387,0.4767214570771711
curtailment,0.0,0.0,0.0,0.0,0.0
rd_up_vol,59.53752774784398,61.87499999999994,60.706263873921955,60.70626387392196,1.280286280048224
rd_down_vol,59.53752774784398,61.87499999999994,60.706263873921955,60.70626387392196,1.280286280048224
rd_cost_econ,259.85941239665885,260.7297827156185,260.2945975561387,260.2945975561387,0.4767214570771711
curt_cost,0.0,0.0,0.0,0.0,0.0
lambda_c_z1,22.5,22.5,22.5,22.5,0.0
lambda_c_z2,22.5,22.5,22.5,22.5,0.0
lambda_c_z3,20.5,20.5,20.5,20.5,0.0
c_dem_z1,3.2142857142857144,10.714285714285714,6.964285714285714,6.9642857142857135,4.107919181288745
c_dem_z2,138.75,146.25,142.5,142.5,4.107919181288746
c_dem_z3,148.75,148.75,148.75,148.75,0.0
nu_c_z1,22.5,22.5,22.5,22.5,0.0
nu_c_z2,22.5,22.5,22.5,22.5,0.0
nu_c_z3,20.5,20.5,20.5,20.5,0.0
req_z1,3.2142857142857135,10.714285714285714,6.964285714285714,6.9642857142857135,4.107919181288746
req_z2,138.75,146.25,142.5,142.5,4.107919181288746
req_z3,148.75000000000003,148.75000000000003,148.75000000000003,148.75000000000003,0.0
net_import_z1,0.0,7.5,3.75,3.75,4.107919181288746
net_import_z2,3.75,11.25,7.5,7.5,4.107919181288746
net_import_z3,-11.25,-11.25,-11.25,-11.25,0.0
c_NL0 0 CCGT,3.2142857142857144,10.714285714285714,6.964285714285714,6.9642857142857135,4.107919181288745
c_NL0 1 coal,138.75,146.25,142.5,142.5,4.107919181288746
c_NL0 10 nuclear,148.75,148.75,148.75,148.75,0.0
