variable,min,max,mean,median,std
total_cap,1211.4329259406547,1211.4329259406604,1211.4329259406584,1211.4329259406604,2.7303782284940235e-12
market_cost,2.2821603477597666e9,2.28216034775995e9,2.2821603477598844e9,2.28216034775995e9,9.048178259856666e-5
lambda_e_avg,42.1427801414074,42.14278014140742,42.14278014140741,42.1427801414074,9.26434382393303e-15
ls_total,0.0,0.0,0.0,0.0,0.0
rd_volume,122416.37320919092,159125.999073455,148668.45117268723,159125.999073455,15044.035359272835
rd_cost,13507.796587366145,115525.78071203781,30105.7192563415,13507.796587366145,36164.068577389444
curtailment,0.0,0.0,0.0,0.0,0.0
rd_up_vol,61208.18660459546,79562.9995367275,74334.22558634361,79562.9995367275,7522.017679636418
rd_down_vol,61208.18660459546,79562.9995367275,74334.22558634364,79562.9995367275,7522.017679636415
rd_cost_econ,13507.796587366145,115525.78071203781,30105.7192563415,13507.796587366145,36164.068577389444
curt_cost,0.0,0.0,0.0,0.0,0.0
lambda_c_z1,0.0,0.0,0.0,0.0,0.0
lambda_c_z2,0.0,0.0,0.0,0.0,0.0
lambda_c_z3,18839.934474476802,18839.93447447786,18839.934474477734,18839.93447447786,3.1331637065406135e-10
c_dem_z1,7227.746702524866,7266.2,7234.738211156707,7227.746702524866,15.555124721395927
c_dem_z2,3710.527849272474,4419.5,4355.047986297498,4419.5,213.76314643404518
c_dem_z3,5812.432925940655,5812.43292594066,5812.432925940658,5812.43292594066,2.8616582717499613e-12
nu_c_z1,0.0,0.0,0.0,0.0,0.0
nu_c_z2,0.0,0.0,0.0,0.0,0.0
nu_c_z3,18839.934474476802,18839.934474478356,18839.934474478046,18839.934474478356,5.016362529268311e-10
req_z1,7227.746702524866,7266.2000000000135,7234.738211156708,7227.746702524866,15.555124721398911
req_z2,3710.527849272461,3748.9811467476084,3741.9896381157655,3748.9811467476084,15.555124721398789
req_z3,5812.43292594066,5812.43292594066,5812.4329259406595,5812.43292594066,9.538860905833204e-13
net_import_z1,-38.45329747514734,0.0,-6.991508631843813,0.0,15.555124721398796
net_import_z2,-1188.6718282183692,-1150.218530743222,-1181.680319586525,-1188.6718282183692,15.55512472139879
net_import_z3,1188.6718282183692,1188.6718282183692,1188.671828218369,1188.6718282183692,2.384715226458301e-13
c_NL0 0 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 1 Invest,0.0,211.43292594065497,29.062992813737846,15.46571357292305,60.899069928742904
c_NL0 10 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 11 Invest,0.0,1000.0,90.9090909090909,0.0,301.51134457776374
c_NL0 12 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 13 Invest,0.0,156.88732027409628,114.0998692902517,156.88732027409606,73.28196791142868
c_NL0 14 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 15 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 16 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 17 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 18 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 19 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 2 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 20 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 21 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 22 Invest,0.0,988.1592402004629,454.7106881308118,499.11528868556616,267.6072976907005
c_NL0 23 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 24 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 25 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 26 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 27 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 28 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 3 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 30 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 31 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 33 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 4 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 5 Invest,0.0,337.4252596101833,235.55837107921815,321.9595460373166,151.35925567154572
c_NL0 6 Invest,0.0,124.15040983224048,46.05674356096176,47.809221167299256,32.19570994504665
c_NL0 7 Invest,0.0,1000.0,124.40234763794578,20.736019753887376,297.09015993036354
c_NL0 8 Invest,0.0,0.0,0.0,0.0,0.0
c_NL0 9 Invest,0.0,149.45981644962808,116.63282251864058,149.45981644957192,60.57125003501123
